Also the entire Swiss Football League is on hold. Postponing games from the professional and amateur level... #coronavirus https://t.co/UShMuqnAVC,"football,swiss football, swiss football league"
"World Health Org Official: Trump’s press conference on #coronavirus ‘incoherent’
World Health Organization Special Adviser to the Director Dr. Ezekiel Emanuel says ""I found most of what [Trump] said incoherent.""
https://t.co/v4WIBW9Fld","coronavirus,trump"
"I mean, Liberals are cheer-leading this #Coronavirus like it's their high school football team.

#TDS","coronavirus,liberals"
"Under repeated questioning, Pompeo refuses to say the #COVID19 coronavirus is not a hoax.  https://t.co/PFESx4ePpD","covid19,coronavirus,pompeo"
#coronavirus comments now from @larry_kudlow here. https://t.co/l45e8bUmBK,coronavirus
"""Are you going to see some schools shut down? Probably.""

White House Chief of Staff Mick Mulvaney warned that the #coronavirus could disrupt U.S. schools as districts prepare their emergency plans https://t.co/qADzyHNG4L","white house,mick mulvaney,coronavirus"
"“Disease can emerge everywhere. Coronaviruses exist on a global basis. It’s important that we don’t ascribe blame to a geographic origin...the languge of stigma &amp; blame has become an unfortunate part of the global narrative"" -@DrMikeRyan at @WHO briefing on #COVID19. #coronavirus https://t.co/4IIvbTdN9j","coronavirus,global"
"“When the virus hit, I felt that I should stay to help.”

@selinawangtv connected with Li Wang. She’s part of a special force under China’s Uber @DidiGlobal that's helping those stranded by the #coronavirus lockdown in #Wuhan #COVID2019 #新型肺炎 https://t.co/CE5INLRC95","virus,uber,didiglobal,wuhan"
"NEW: WHO says it has increased its assessment of “the risk of spread and the risk of impact” of the coronavirus “to very high at a global level.” #COVID19 

https://t.co/dzmpKLK9mZ","who,coronavirus,covid19"
President's public awareness message about #Coronavirus https://t.co/Qt2WFGqv5R https://t.co/pbafF9qVyy,"president,coronavirus,public awareness"
Harvard epidemiology professor Marc Lipsitch: “I think the likely outcome is that it will ultimately not be containable.” #Coronavirus - The Atlantic https://t.co/hJVGqdsihO,"harvard,mac lipsitch,coronavirus,the altantic"
"The Summit County Health Department has issued the following statement about the #Coronavirus #COVID19 Outbreak: https://t.co/maWQ4Adb4u

There are NO confirmed cases in Summit County or Utah.
#SummitCountyUT #ParkCity #Coalville #Kamas https://t.co/Cg3VtMjO2R","coronavirus,summit county,utah"
"Italian-Nigerian Footballer King Udoh, Contracts #Coronavirus https://t.co/j67qRSIX13 https://t.co/ofN8g8QrSN","king udoh,coronavirus"
"#CoronavirusOutbreak | We are at a stage now that every country needs to be prepared. San Francisco has declared an emergency without a single case being reported: Dr. K.K. Aggarwal (Sr member of the Indian Medical Association) tells @AnchorAnandN on #TheRightStand

#COVID19 https://t.co/wA4KUn8AuF","san fransisco,coronavirus,aggarwal"
#Coronavirus outbreak: World Health Organization gives latest update on virus . Conférence de l’OMS | LIVE https://t.co/C6SunFRpyS,"world health organisation,virus"
"Apart from that, several notifications were issued on how one could be affected by coronavirus, what the symptoms were and which preventive measures could be adopted.
#India #Coronavirus

https://t.co/AkUIJlCZNt","coronavirus,preventive measures"
"Your #DailyDose of news has arrived!

@Memeghnad brings you the latest updates about #Delhi smoulders, #Coronavirus scare, new mini-moon, and more.

Listen up!

https://t.co/htwPR8dUm2","delhi,coronavirus,mini-moon"
"To keep up with the latest news about #coronavirus #COVID2019, visit @TexasDSHS where you'll find everything you need to know.

https://t.co/yqNjHAYE3C","coronavirus,news"
"World Health Organisation (WHO): Our epidemiologists have been monitoring the developments continuously, and we have now increased our assessment of the risk of spread and the risk of impact of #COVID19 to very high at a global level. #coronavirus https://t.co/yQrUvXIRpL","world health organisation,covid19,global level,coronavirus"
JUST IN: World Health Organization (WHO) upgrades global risk of #coronavirus spread to 'very high' | via @AFP https://t.co/IjKMPEie9k,"world health organisation,coronavirus"
"#Coronavirus: This Is Not Time To Fear, Says @WHO | Sahara Reporters 
Nigeria recorded its first case on Friday in a patient, who recently returned from Italy, one of the countries worst hit by the infection apart from China. @WHOAFRO 
READ MORE: https://t.co/wnAgDku1ew https://t.co/979IfuL7MN","coronavirus,nigeria,first case,friday,italy,worst hit,china"
A reminder to follow all @CDCGov precautions regarding respiratory diseases as we continue to monitor #COVID19. Stay updated and informed here: https://t.co/yjHYbIVWCc,"reminder,respiratory diseases,covid19"
"China will firmly support Japan to hold the 2020 Tokyo Olympic Games, Yang said during the meeting while Abe spoke highly of China's achievements in the battle against the #COVID19 epidemic. https://t.co/27KmVBSVbr","china,japanmtokyo,olympic,yang,abe,covid19"
"There are more than 1.8 billion videos with the hashtag #coronavirus on TikTok. 

The platform created a “Safety Center” page that links out to health resources. https://t.co/OTeF0RzeEe","Coronavirus,1.8 billion,safety center"
"Recovery rate of patients in severe condition has climbed significantly from 14 to 64 percent in #Wuhan, capital of Hubei province, the epicenter of the novel #coronavirus, senior official from the National Health Commission said on Friday. #COVID19","wuhan,covid19,national health commision,recovery"
#WHO raises threat assessment of #coronavirus to 'very high' at global level @CNBC ⁦@BerkeleyJr⁩ ⁦@WillFOIA⁩  https://t.co/5NbxZBlYZN,"who,coronavirus,global level"
"I think we’re in a position to do a good job of combating the #CoronaVirus. We just don’t know what to expect as far as the full impact, but I believe we should be ready for the worst. Essentially whatever money it takes, Congress should spend that to protect the American public.","coronavirus,full impact,amarican public,congress"
Thinking this is a fairly safe setup considering the news at the moment #coronavirus #islandlife https://t.co/fcWssaie4p,coronavirus
"A ban on shaking hands? As coronavirus spreads in California, U.S., it’s worth considering
https://t.co/3t8escd7rV
#coronavirus","shaking hands,coronavirus,californai"
"""Not only would it be a major crisis in an election year, but a recession would be unavoidable.""

There's trouble ahead for Donald Trump if the #coronavirus grips America, writes @lizzzburden https://t.co/SHVMUfkgFR
#CoronavirusOutbreak #Election2020","major crisis,coronavirus"
"“She has developed and patented vaccines, including leading one of the most influential HIV vaccine trials in history.”

VP @Mike_Pence announced that Deborah Birx has been appointed to serve as @WhiteHouse’s coordinator to combat the #Coronavirus. https://t.co/sPQsnLSHGF","patented vaccines,hiv,hiv vaccine,most influential,coronavirus"
Police offer to test #coronavirus contaminated meth | Read more: https://t.co/n3WMlmDlu1 https://t.co/WKgUytrCUT,"coronavirus,meth"
"JUST IN: WHO upgrades global risk of virus spread to ‘very high’ | via @AFP 

Story soon on https://t.co/zcta6yYg5U #coronavirus #nCoV https://t.co/uwq6Kxd0dx",coronavirus
When and How to Wash Your Hands https://t.co/sf89NsMuDk #coronavirus,wash your hands
"There are currently no cases of Coronavirus 19 in Georgia. For the latest information and guidance from @FultonHealth regarding #COVID19, visit https://t.co/8DUHiBJJtP https://t.co/Zie73KjuAn","coronavirus, georgia"
The @healthdpt Minister has provided a new update on the Emergence of #Coronavirus (2019 NCOV) - Read More - https://t.co/0ist0J9vct https://t.co/f4Nf5P22y3,coronavirus
"Little Girl Tries to Eat Biscuit Wearing Facemask in China, Her Perplexed Reaction Goes Viral (Watch Video) #Biscuit #China #Coronavirus https://t.co/jALJW7Wao9","biscuit,china,coronavirus"
JUST IN: Assessment of risk of spread and risk of impact of #COVID19 is now ‘very high at global level’ - WHO | via @Reuters https://t.co/nRWfXUmHeY,"covid19,global level"
"BREAKING NEWS: Two new #coronavirus cases raise total infections in #Bahrain to 38 

Read more: https://t.co/RynBb3sQuz https://t.co/pQl1poEePi","breaking news,coronavirus,infection,bahriain"
The closure of #Iran's parliament comes after several Iranian lawmakers tested positive for the #coronavirus https://t.co/RaMviWSySy,"iran,parilament,iranian lawmakers,positive,coronavirus"
$ZM is a #coronavirus play. teleconferencing. https://t.co/eoxsNT6exB,coronavirus
"The USA has only 60 cases of Coronavirus, ONE in serious condition, ZERO new cases in many days and just ONE death and we're shedding $$$ trillions from the stock market?

5 times as many Americans died falling from ladders this week as from #Coronavirus.","coronavirus,usa,zero,trillions,stock market"
"#BREAKING Cases of #coronavirus in #Israel rises to 4, as WHO raises its warning level from the spread of the virus to ""very high""","israel,breaking,who,very high"
"Indian #stockmarket followed global stocks which are headed for their worst week since 2008 financial crisis as the world found itself on the cusp of a pandemic (#coronavirus).

https://t.co/fK5y5wQtyC","stockmarket,indian,global,financial crisis,coronavirus,pandamic"
#JustIn | @WHO raises risk assessment of #coronavirus to ‘very high’ at global level https://t.co/Ct5BtrbJx5,"justin,who,coronavirus"
"According to @WHO D-G  @DrTedros: “The key to containing #coronavirus is to break the chain of transmission. Countries need to educate their populations, expand surveillance, find + isolate every case, trace every contact, and take an all-of-government &amp; all-of-society approach.""","coronavirus,conaining,chain of transmission,,surveillance,all-of-government"
"Do you have a secret stash of gold? This week investors are flocking to the precious metal following a surge in #CoronaVirus cases outside China triggered fears of a pandemic and roiled stock markets around the world
https://t.co/f7GiA6j4tm #goldprice","gold,investors,coronavirus,china,fear,pandemic"
"I'm concerned about this choice for the Vice President to lead the #coronavirus response. One of the largest outbreaks of another virus, HIV, occurred in Indiana, the result of cuts to state funding and then Governor Pence failing to heed the advice of medical experts. https://t.co/TUcNwcauGK","vice president,coronavirus,outbreaks,virus,indiana,governor,pence"
"Important follow-up point for the 38%:
No, you cannot prevent #coronavirus by sucking on a lime https://t.co/RQZ9vXrM7u","prevent,coronavirus,time"
The latest ⁦@WHO⁩ Situation Report on #coronavirus includes a map of expert laboratories working on the problem https://t.co/NYiH2i4LNW,coronavirus
You don't need to worry about paying off your student loans if you die from the #coronavirus https://t.co/pzMIBgBI2V,coronavirus
"I was disappointed that at this briefing state officials failed to be forthcoming with the public about suspected #coronavirus cases in Florida. As a top tourist destination and home to many vulnerable seniors, Florida is uniquely at risk from the threat of this illness. #FlaPol https://t.co/siF20Iyq7r","florida,coronavirus,vulerable"
"No need to worry about #coronavirus, right-wing pastor Hank Kunneman and his wife Brenda held a “Prophetic Pulse” conference call in which Brenda rebuked the virus -- via @RightWingWatch

https://t.co/DEfyMIWwwM",coronavirus
"In what the White House billed as a major address, Biden once again pleaded with Congress to act. “I support the bipartisan efforts that include a small group of Democrats and Republican senators trying to find a way,"" he said in evening remarks from the White House. ""But my God — the fact that the majority of the Senate Republicans don’t want any of these proposals even to be debated or come up for a vote, I find it unconscionable.” ","white house,biden,congress,bipartisan,democrats,republic,senate republicans"
"Pollution is a term which even kids are aware of these days. It has become so common that almost everyone acknowledges the fact that pollution is rising continuously. The term ‘pollution’ means the manifestation of any unsolicited foreign substance in something. When we talk about pollution on earth, we refer to the contamination that is happening of the natural resources by various pollutants.","kids,pollution,aware,item,pollution,acknowledges"
"Pets are a great blessing in anyone’s life. They are the only ones who love us unconditionally. Pets always offer us everything they have without asking for anything in return. The main aim of any pet’s life is to make their owner happy. Nowadays, even the term ‘owner’ is changing. People prefer their pets as kids and to themselves as parents.This is how the relationship between pets is evolving. People treat them no less than humans. ","pets,great blessing,love,unconditionally,kids"
